Site,Phase,Duration (s),Start,End,Gapped,date,start_time,day
1800,<A>,178,2021-06-15T00:01:01-04:00[America/New_York],2021-06-15T00:03:59-04:00[America/New_York],NA,2021-06-15,61,Tuesday
1800,B,15,2021-06-15T00:03:59-04:00[America/New_York],2021-06-15T00:04:14-04:00[America/New_York],Yes,2021-06-15,239,Tuesday
1800,<A>,51,2021-06-15T00:04:14-04:00[America/New_York],2021-06-15T00:05:05-04:00[America/New_York],Yes,2021-06-15,254,Tuesday
1800,B,16,2021-06-15T00:05:05-04:00[America/New_York],2021-06-15T00:05:21-04:00[America/New_York],Yes,2021-06-15,305,Tuesday
1800,<A>,394,2021-06-15T00:05:21-04:00[America/New_York],2021-06-15T00:11:55-04:00[America/New_York],Yes,2021-06-15,321,Tuesday
1800,B,16,2021-06-15T00:11:55-04:00[America/New_York],2021-06-15T00:12:11-04:00[America/New_York],Yes,2021-06-15,715,Tuesday
1800,<A>,623,2021-06-15T00:12:11-04:00[America/New_York],2021-06-15T00:22:34-04:00[America/New_York],Yes,2021-06-15,731,Tuesday
1800,B,15,2021-06-15T00:22:34-04:00[America/New_York],2021-06-15T00:22:49-04:00[America/New_York],Yes,2021-06-15,1354,Tuesday
1800,<A>,26,2021-06-15T00:22:49-04:00[America/New_York],2021-06-15T00:23:15-04:00[America/New_York],Yes,2021-06-15,1369,Tuesday
1800,B,16,2021-06-15T00:23:15-04:00[America/New_York],2021-06-15T00:23:31-04:00[America/New_York],Yes,2021-06-15,1395,Tuesday
1800,<A>,74,2021-06-15T00:23:31-04:00[America/New_York],2021-06-15T00:24:45-04:00[America/New_York],NA,2021-06-15,1411,Tuesday
1800,B,15,2021-06-15T00:24:45-04:00[America/New_York],2021-06-15T00:25:00-04:00[America/New_York],Yes,2021-06-15,1485,Tuesday
1800,<A>,179,2021-06-15T00:25:00-04:00[America/New_York],2021-06-15T00:27:59-04:00[America/New_York],NA,2021-06-15,1500,Tuesday
1800,B,17,2021-06-15T00:27:59-04:00[America/New_York],2021-06-15T00:28:16-04:00[America/New_York],Yes,2021-06-15,1679,Tuesday
1800,<A>,469,2021-06-15T00:28:16-04:00[America/New_York],2021-06-15T00:36:05-04:00[America/New_York],NA,2021-06-15,1696,Tuesday
1800,B,15,2021-06-15T00:36:05-04:00[America/New_York],2021-06-15T00:36:20-04:00[America/New_York],Yes,2021-06-15,2165,Tuesday
1800,<A>,473,2021-06-15T00:36:20-04:00[America/New_York],2021-06-15T00:44:13-04:00[America/New_York],NA,2021-06-15,2180,Tuesday
1800,B,15,2021-06-15T00:44:13-04:00[America/New_York],2021-06-15T00:44:28-04:00[America/New_York],Yes,2021-06-15,2653,Tuesday
1800,<A>,263,2021-06-15T00:44:28-04:00[America/New_York],2021-06-15T00:48:51-04:00[America/New_York],NA,2021-06-15,2668,Tuesday
1800,B,15,2021-06-15T00:48:51-04:00[America/New_York],2021-06-15T00:49:06-04:00[America/New_York],Yes,2021-06-15,2931,Tuesday
1800,<A>,163,2021-06-15T00:49:06-04:00[America/New_York],2021-06-15T00:51:49-04:00[America/New_York],Yes,2021-06-15,2946,Tuesday
1800,B,15,2021-06-15T00:51:49-04:00[America/New_York],2021-06-15T00:52:04-04:00[America/New_York],Yes,2021-06-15,3109,Tuesday
1800,<A>,2691,2021-06-15T00:52:04-04:00[America/New_York],2021-06-15T01:36:55-04:00[America/New_York],Yes,2021-06-15,3124,Tuesday
1800,B,15,2021-06-15T01:36:55-04:00[America/New_York],2021-06-15T01:37:10-04:00[America/New_York],Yes,2021-06-15,5815,Tuesday
1800,<A>,2686,2021-06-15T01:37:10-04:00[America/New_York],2021-06-15T02:21:56-04:00[America/New_York],Yes,2021-06-15,5830,Tuesday
1800,B,15,2021-06-15T02:21:56-04:00[America/New_York],2021-06-15T02:22:11-04:00[America/New_York],Yes,2021-06-15,8516,Tuesday
1800,<A>,56,2021-06-15T02:22:11-04:00[America/New_York],2021-06-15T02:23:07-04:00[America/New_York],Yes,2021-06-15,8531,Tuesday
1800,B,15,2021-06-15T02:23:07-04:00[America/New_York],2021-06-15T02:23:22-04:00[America/New_York],Yes,2021-06-15,8587,Tuesday
1800,<A>,28,2021-06-15T02:23:22-04:00[America/New_York],2021-06-15T02:23:50-04:00[America/New_York],Yes,2021-06-15,8602,Tuesday
1800,B,15,2021-06-15T02:23:50-04:00[America/New_York],2021-06-15T02:24:05-04:00[America/New_York],Yes,2021-06-15,8630,Tuesday
1800,<A>,351,2021-06-15T02:24:05-04:00[America/New_York],2021-06-15T02:29:56-04:00[America/New_York],Yes,2021-06-15,8645,Tuesday
1800,B,15,2021-06-15T02:29:56-04:00[America/New_York],2021-06-15T02:30:11-04:00[America/New_York],Yes,2021-06-15,8996,Tuesday
1800,<A>,65,2021-06-15T02:30:11-04:00[America/New_York],2021-06-15T02:31:16-04:00[America/New_York],Yes,2021-06-15,9011,Tuesday
1800,B,15,2021-06-15T02:31:16-04:00[America/New_York],2021-06-15T02:31:31-04:00[America/New_York],Yes,2021-06-15,9076,Tuesday
1800,<A>,1441,2021-06-15T02:31:31-04:00[America/New_York],2021-06-15T02:55:32-04:00[America/New_York],Yes,2021-06-15,9091,Tuesday
1800,B,15,2021-06-15T02:55:32-04:00[America/New_York],2021-06-15T02:55:47-04:00[America/New_York],Yes,2021-06-15,10532,Tuesday
1800,<A>,26,2021-06-15T02:55:47-04:00[America/New_York],2021-06-15T02:56:13-04:00[America/New_York],Yes,2021-06-15,10547,Tuesday
1800,B,16,2021-06-15T02:56:13-04:00[America/New_York],2021-06-15T02:56:29-04:00[America/New_York],Yes,2021-06-15,10573,Tuesday
1800,<A>,241,2021-06-15T02:56:29-04:00[America/New_York],2021-06-15T03:00:30-04:00[America/New_York],Yes,2021-06-15,10589,Tuesday
1800,B,15,2021-06-15T03:00:30-04:00[America/New_York],2021-06-15T03:00:45-04:00[America/New_York],Yes,2021-06-15,10830,Tuesday
1800,<A>,775,2021-06-15T03:00:45-04:00[America/New_York],2021-06-15T03:13:40-04:00[America/New_York],Yes,2021-06-15,10845,Tuesday
1800,B,16,2021-06-15T03:13:40-04:00[America/New_York],2021-06-15T03:13:56-04:00[America/New_York],Yes,2021-06-15,11620,Tuesday
