Site,Phase,Duration (s),Start,End,Gapped,date,start_time,day
1800,B,15,2021-02-07T00:00:43-05:00[America/New_York],2021-02-07T00:00:58-05:00[America/New_York],Yes,2021-02-07,43,Sunday
1800,<A>,238,2021-02-07T00:00:58-05:00[America/New_York],2021-02-07T00:04:56-05:00[America/New_York],Yes,2021-02-07,58,Sunday
1800,B,15,2021-02-07T00:04:56-05:00[America/New_York],2021-02-07T00:05:11-05:00[America/New_York],Yes,2021-02-07,296,Sunday
1800,<A>,177,2021-02-07T00:05:11-05:00[America/New_York],2021-02-07T00:08:08-05:00[America/New_York],NA,2021-02-07,311,Sunday
1800,B,15,2021-02-07T00:08:08-05:00[America/New_York],2021-02-07T00:08:23-05:00[America/New_York],Yes,2021-02-07,488,Sunday
1800,<A>,63,2021-02-07T00:08:23-05:00[America/New_York],2021-02-07T00:09:26-05:00[America/New_York],Yes,2021-02-07,503,Sunday
1800,B,15,2021-02-07T00:09:26-05:00[America/New_York],2021-02-07T00:09:41-05:00[America/New_York],Yes,2021-02-07,566,Sunday
1800,<A>,180,2021-02-07T00:09:41-05:00[America/New_York],2021-02-07T00:12:41-05:00[America/New_York],NA,2021-02-07,581,Sunday
1800,B,15,2021-02-07T00:12:41-05:00[America/New_York],2021-02-07T00:12:56-05:00[America/New_York],Yes,2021-02-07,761,Sunday
1800,<A>,47,2021-02-07T00:12:56-05:00[America/New_York],2021-02-07T00:13:43-05:00[America/New_York],Yes,2021-02-07,776,Sunday
1800,B,16,2021-02-07T00:13:43-05:00[America/New_York],2021-02-07T00:13:59-05:00[America/New_York],Yes,2021-02-07,823,Sunday
1800,<A>,72,2021-02-07T00:13:59-05:00[America/New_York],2021-02-07T00:15:11-05:00[America/New_York],NA,2021-02-07,839,Sunday
1800,B,18,2021-02-07T00:15:11-05:00[America/New_York],2021-02-07T00:15:29-05:00[America/New_York],Yes,2021-02-07,911,Sunday
1800,<A>,123,2021-02-07T00:15:29-05:00[America/New_York],2021-02-07T00:17:32-05:00[America/New_York],Yes,2021-02-07,929,Sunday
1800,B,16,2021-02-07T00:17:32-05:00[America/New_York],2021-02-07T00:17:48-05:00[America/New_York],Yes,2021-02-07,1052,Sunday
1800,<A>,82,2021-02-07T00:17:48-05:00[America/New_York],2021-02-07T00:19:10-05:00[America/New_York],NA,2021-02-07,1068,Sunday
1800,B,15,2021-02-07T00:19:10-05:00[America/New_York],2021-02-07T00:19:25-05:00[America/New_York],Yes,2021-02-07,1150,Sunday
