Site,Phase,Duration (s),Start,End,Gapped,date,start_time,day
1800,<A>,122,2021-10-31T00:01:22-04:00[America/New_York],2021-10-31T00:03:24-04:00[America/New_York],Yes,2021-10-31,82,Sunday
1800,B,15,2021-10-31T00:03:24-04:00[America/New_York],2021-10-31T00:03:39-04:00[America/New_York],Yes,2021-10-31,204,Sunday
1800,<A>,354,2021-10-31T00:03:39-04:00[America/New_York],2021-10-31T00:09:33-04:00[America/New_York],Yes,2021-10-31,219,Sunday
1800,B,15,2021-10-31T00:09:33-04:00[America/New_York],2021-10-31T00:09:48-04:00[America/New_York],Yes,2021-10-31,573,Sunday
1800,<A>,85,2021-10-31T00:09:48-04:00[America/New_York],2021-10-31T00:11:13-04:00[America/New_York],NA,2021-10-31,588,Sunday
1800,B,15,2021-10-31T00:11:13-04:00[America/New_York],2021-10-31T00:11:28-04:00[America/New_York],Yes,2021-10-31,673,Sunday
1800,<A>,43,2021-10-31T00:11:28-04:00[America/New_York],2021-10-31T00:12:11-04:00[America/New_York],Yes,2021-10-31,688,Sunday
1800,B,16,2021-10-31T00:12:11-04:00[America/New_York],2021-10-31T00:12:27-04:00[America/New_York],Yes,2021-10-31,731,Sunday
1800,<A>,41,2021-10-31T00:12:27-04:00[America/New_York],2021-10-31T00:13:08-04:00[America/New_York],Yes,2021-10-31,747,Sunday
1800,B,15,2021-10-31T00:13:08-04:00[America/New_York],2021-10-31T00:13:23-04:00[America/New_York],Yes,2021-10-31,788,Sunday
1800,<A>,60,2021-10-31T00:13:23-04:00[America/New_York],2021-10-31T00:14:23-04:00[America/New_York],Yes,2021-10-31,803,Sunday
1800,B,17,2021-10-31T00:14:23-04:00[America/New_York],2021-10-31T00:14:40-04:00[America/New_York],Yes,2021-10-31,863,Sunday
1800,<A>,170,2021-10-31T00:14:40-04:00[America/New_York],2021-10-31T00:17:30-04:00[America/New_York],Yes,2021-10-31,880,Sunday
1800,B,15,2021-10-31T00:17:30-04:00[America/New_York],2021-10-31T00:17:45-04:00[America/New_York],Yes,2021-10-31,1050,Sunday
1800,<A>,30,2021-10-31T00:17:45-04:00[America/New_York],2021-10-31T00:18:15-04:00[America/New_York],Yes,2021-10-31,1065,Sunday
1800,B,15,2021-10-31T00:18:15-04:00[America/New_York],2021-10-31T00:18:30-04:00[America/New_York],Yes,2021-10-31,1095,Sunday
1800,<A>,190,2021-10-31T00:18:30-04:00[America/New_York],2021-10-31T00:21:40-04:00[America/New_York],NA,2021-10-31,1110,Sunday
1800,B,16,2021-10-31T00:21:40-04:00[America/New_York],2021-10-31T00:21:56-04:00[America/New_York],Yes,2021-10-31,1300,Sunday
1800,<A>,158,2021-10-31T00:21:56-04:00[America/New_York],2021-10-31T00:24:34-04:00[America/New_York],Yes,2021-10-31,1316,Sunday
1800,B,15,2021-10-31T00:24:34-04:00[America/New_York],2021-10-31T00:24:49-04:00[America/New_York],Yes,2021-10-31,1474,Sunday
1800,<A>,361,2021-10-31T00:24:49-04:00[America/New_York],2021-10-31T00:30:50-04:00[America/New_York],Yes,2021-10-31,1489,Sunday
1800,B,15,2021-10-31T00:30:50-04:00[America/New_York],2021-10-31T00:31:05-04:00[America/New_York],Yes,2021-10-31,1850,Sunday
1800,<A>,76,2021-10-31T00:31:05-04:00[America/New_York],2021-10-31T00:32:21-04:00[America/New_York],Yes,2021-10-31,1865,Sunday
1800,B,15,2021-10-31T00:32:21-04:00[America/New_York],2021-10-31T00:32:36-04:00[America/New_York],Yes,2021-10-31,1941,Sunday
1800,<A>,134,2021-10-31T00:32:36-04:00[America/New_York],2021-10-31T00:34:50-04:00[America/New_York],Yes,2021-10-31,1956,Sunday
1800,B,15,2021-10-31T00:34:50-04:00[America/New_York],2021-10-31T00:35:05-04:00[America/New_York],Yes,2021-10-31,2090,Sunday
1800,<A>,51,2021-10-31T00:35:05-04:00[America/New_York],2021-10-31T00:35:56-04:00[America/New_York],Yes,2021-10-31,2105,Sunday
1800,B,16,2021-10-31T00:35:56-04:00[America/New_York],2021-10-31T00:36:12-04:00[America/New_York],Yes,2021-10-31,2156,Sunday
